fileformat,1,,,,
resource_type,block,,,,
resource_ver,1,,,,
resource_id,block_china,,,,
순번,블럭아이디,태그,사운드아이디,블록기본이미지,글로우이미지
no,id,tag,sound_id,image,image_glow
0,0,bean,1,block_korean_bean.png,block_korean_bean_glow.png
1,1,beef,13,block_korean_beef.png,block_korean_beef_glow.png
2,2,garlic,9,block_korean_garlic.png,block_korean_garlic_glow.png
3,3,rice,11,block_korean_rice.png,block_korean_rice_glow.png
4,4,sauce,6,block_korean_sauce.png,block_korean_sauce_glow.png
5,5,kimchi,9,block_korean_kimchi.png,block_korean_kimchi_glow.png
6,6,pa,9,block_korean_pa.png,block_korean_pa_glow.png
7,7,pepper,9,block_korean_pepper.png,block_korean_pepper_glow.png
8,8,pork,13,block_korean_pork.png,block_korean_pork_glow.png
9,9,vegetable,17,block_korean_vegetable.png,block_korean_vegetable_glow.png
10,10,r_beef,-1,block_korean_roast_beef.png,block_korean_roast_beef_glow.png
11,11,r_pork,-1,block_korean_roast_pork.png,block_korean_roast_pork_glow.png
